STT,Tên bài hát,Tác giả,Thể loại
1,Lướt Sóng Đạp Mây,Thiên Tú,Nhạc Hoa Lời Việt
2,Nối lại tình xưa,Vinh Sử,Bolero
3,Vạn Lối Sầu,Quang Lập,Bolero
4,Đừng Hỏi Em Ổn Không,Jin Tuấn Nam,Pop
5,Tạ từ trong đêm,Trần Thiện Thanh,Bolero
6,Ngày Mai Người Ta Lấy Chồng,Đông Thiên Đức,"Pop, Ballad"
7,Biển tình,Lam Phương,Bolero|Lam Phương
8,Hai mùa mưa,Anh Bằng,Bolero
9,Cánh hồng phai,Dương Khắc Linh,"Pop, Balld"
10,Nhân Sinh Quán,Jin Tuấn Nam,Nhạc Hoa Lời Việt
11,Ai Chung Tình Được Mãi,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
12,Tìm em câu ví sông Lam,Ngô Sỹ Ngọc,Nhạc trữ tình
13,Những lời dối gian,Khúc Lan,
14,Ngoại ô buồn,Anh Bằng,
15,Lại nhớ người yêu,Giao Tiên,
16,Có Duyên Không Nợ,NB3 Hoài Bảo,Nhạc trẻ
17,THÀNH PHỐ BUỒN,Lam Phương,Bolero|Lam Phương
18,Hai mùa mưa,Anh Bằng,
19,Trói Em Lại,Quang Hùng MasterD,"Pop, Rap"
20,Thiên Lý Ơi,Trịnh Trần Phương Tuấn (Jack),Pop
21,Đơn Côi,Hạo Thiên (Kim Thiên),"Pop, Ballad"
22,Xin lỗi,Ngân Giang,Nhạc trữ tình|Ngân Giang
23,Một Vòng Việt Nam,Đông Thiên Đức,Pop
24,Bông mua tím,Hà Phương,
25,Lời tình viết vội,Giao Tiên,
26,Câu đợi câu chờ,Nguyễn Ngọc Thịnh,
27,Hoa Nở Bên Đường,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
28,Con heo đất,Ngọc Lễ,Nhạc thiếu nhi
29,Thiền Cửa Phật,Kim Tiểu Long,Kim Tiểu Long|Nhạc Phật
30,Anh còn nợ em,Anh Bằng,
31,Mưa đêm tỉnh nhỏ (Mưa đêm tỉnh lẻ),Hà Phương,
32,Căn nhà ngoại ô,Anh Bằng,
33,Hoa trinh nữ,Trần Thiện Thanh,Bolero
34,Xin anh giữ trọn tình quê,Duy Khánh,Duy Khánh|Bolero
35,Mười năm tình cũ,Trần Quảng Nam,
36,Viết từ KBC,Anh Bằng,Bolero
37,Hỏi vợ ngoại thành,Giao Tiên|Hương Vũ,
38,Không bao giờ quên em,Đăng Minh,Ca cổ
39,Sương Trắng Miền Quê Ngoại,Đinh Miên Vũ,Nhạc Trữ Tình
40,Nếu ai có hỏi,Anh Bằng,
41,Không Bằng,AZ Entertainment,pop|AZ Entertainment
42,Đoạn Buồn Đêm Mưa,Vinh Sử|Tú Nhi,
43,Gian dối,Ngọc Sơn,Ngọc Sơn|Bolero
44,Nhớ người yêu (Ck1),Giao Tiên,Bolero
45,Thành phố buồn,Lam Phương,Bolero|Lam Phương
46,Từ đó em buồn,Trần Thiện Thanh,Bolero
47,"Hai Quê (Tức ""Sương Trắng Miền Quê Ngoại"" #2)",Đinh Miên Vũ,Nhạc Trữ Tình
48,Qua cơn mê,Trịnh Lâm Ngân,
49,Thân Sinh Phụ Mẫu,BÌN,Pop
50,Một thuở yêu người,Khúc Lan,
51,Con heo dat,Ngọc Lễ,
52,Rừng lá thấp,Trần Thiện Thanh,Bolero
